Passenger ID,First Name,Last Name,Gender,Age,Nationality,Airport Name,Airport Country Code,Country Name,Airport Continent,Continents,Departure Date,Arrival Airport,Pilot Name,Flight Status,Day of Departure,Time of Departure,WeatherDelay,NASDelay,SecurityDelay,CarrierDelay,ArrivalDelay,DepartureDelay,Year,Month,DepartureHour,Route,IsDelayed,IsCancelled
ABVWIg,Edithe,Leggis,Female,62,Japan,Coldfoot Airport,US,United States,NAM,North America,2022-06-28,CXF,Fransisco Hazeldine,On Time,Saturday,2026-03-13 23:01:21,102,145,32,23,45,38,2022,6,23,Coldfoot Airport - CXF,0,0
jkXXAX,Elwood,Catt,Male,62,Nicaragua,Kugluktuk Airport,CA,Canada,NAM,North America,2022-12-26,YCO,Marla Parsonage,On Time,Monday,2026-03-13 06:25:22,1,51,110,12,30,27,2022,12,6,Kugluktuk Airport - YCO,0,0
CdUz2g,Darby,Felgate,Male,67,Russia,Grenoble-Isère Airport,FR,France,EU,Europe,2022-01-18,GNB,Rhonda Amber,On Time,Tuesday,2026-03-13 04:49:28,2,92,110,45,60,55,2022,1,4,Grenoble-Isère Airport - GNB,0,0
BRS38V,Dominica,Pyle,Female,71,China,Ottawa / Gatineau Airport,CA,Canada,NAM,North America,2022-09-16,YND,Kacie Commucci,Delayed,Wednesday,2026-03-13 13:20:59,3,14,33,8,18,12,2022,9,13,Ottawa / Gatineau Airport - YND,1,0
VBu4gW,Lisle,Floyd,Male,25,China,Copán Ruinas Airport,HN,Honduras,NAM,North America,2022-07-14,RUY,Kiley Skilton,On Time,Thursday,2026-03-13 15:31:51,87,132,41,67,80,75,2022,7,15,Copán Ruinas Airport - RUY,0,0
jtdRqK,Leroi,Raeburn,Male,88,Brazil,Waycross Ware County Airport,US,United States,NAM,North America,2022-09-17,AYS,Binny Launder,Cancelled,Friday,2026-03-13 22:38:36,12,78,95,34,50,46,2022,9,22,Waycross Ware County Airport - AYS,0,1
iM1RBR,Nicole,Gages,Female,54,South Africa,En Nahud Airport,SD,Sudan,AF,Africa,2022-05-18,NUD,Chet Carryer,Cancelled,Friday,2026-03-13 22:09:30,4,23,18,5,10,8,2022,5,22,En Nahud Airport - NUD,0,1
CdWmHb,Mariele,Lucius,Female,33,Ukraine,Memorial Field,US,United States,NAM,North America,2022-11-28,HOT,Nickie Rudyard,Cancelled,Saturday,2026-03-13 21:42:11,65,141,60,90,110,105,2022,11,21,Memorial Field - HOT,0,1
UOfHC1,Sherwood,Woolaston,Male,80,Portugal,Tarama Airport,JP,Japan,AS,Asia,2022-04-13,TRA,Ardelia Milch,On Time,Saturday,2026-03-13 18:57:10,23,54,77,14,25,20,2022,4,18,Tarama Airport - TRA,0,0
56InnO,Ag,Gumby,Female,76,China,Akita Airport,JP,Japan,AS,Asia,2022-03-06,AXT,Annamarie Shrimpton,Delayed,Sunday,2026-03-13 21:52:07,91,110,34,39,55,50,2022,3,21,Akita Airport - AXT,1,0
nKTeJu,Basil,Canon,Male,18,Portugal,Hatzfeldhaven Airport,PG,Papua New Guinea,OC,Oceania,2022-05-25,HAZ,Siobhan Philippon,Cancelled,Sunday,2026-03-13 10:09:44,8,17,92,72,95,88,2022,5,10,Hatzfeldhaven Airport - HAZ,0,1
jRfZM5,Care,Kearton,Male,4,Kenya,Tapini Airport,PG,Papua New Guinea,OC,Oceania,2022-07-30,TPI,Britt Viney,Cancelled,Monday,2026-03-13 09:13:35,44,73,55,18,40,35,2022,7,9,Tapini Airport - TPI,0,1
dkNtb8,Violetta,Francois,Female,85,Indonesia,Casa De Campo International Airport,DO,Dominican Republic,NAM,North America,2022-04-04,LRM,Christel Blues,Delayed,Monday,2026-03-13 20:44:39,39,126,21,6,12,10,2022,4,20,Casa De Campo International Airport - LRM,1,0
bk2hAK,Adlai,Tilmouth,Male,49,Serbia,Owatonna Degner Regional Airport,US,United States,NAM,North America,2022-04-01,OWA,Caresse Sumpner,On Time,Monday,2026-03-13 22:03:38,72,88,64,55,70,64,2022,4,22,Owatonna Degner Regional Airport - OWA,0,0
sZQluf,Gwenore,Smaridge,Female,7,Russia,Handan Airport,CN,China,AS,Asia,2022-08-03,HDG,Doria Coils,Delayed,Tuesday,2026-03-13 19:02:53,5,34,11,28,48,44,2022,8,19,Handan Airport - HDG,1,0
OHPtDJ,Kurt,Marling,Male,65,Indonesia,Mal Airport,PG,Papua New Guinea,OC,Oceania,2022-10-26,MMV,Noelyn Abbey,Delayed,Tuesday,2026-03-13 23:08:58,63,97,45,41,63,58,2022,10,23,Mal Airport - MMV,1,0
PRT2e0,Artemus,Brewitt,Male,27,China,Fáskrúðsfjörður Airport,IS,Iceland,EU,Europe,2022-01-13,FAS,Jayme Witard,On Time,Tuesday,2026-03-13 18:09:34,18,66,83,3,7,5,2022,1,18,Fáskrúðsfjörður Airport - FAS,0,0
Avxiy6,Sergio,Edmonson,Male,10,Sweden,Omora Airport,PG,Papua New Guinea,OC,Oceania,2022-01-08,OSE,Woodie Stearley,On Time,Wednesday,2026-03-13 14:14:00,101,142,29,60,82,79,2022,1,14,Omora Airport - OSE,0,0
tAltei,Maia,Kidwell,Female,45,Philippines,Fort Mcpherson Airport,CA,Canada,NAM,North America,2022-04-12,ZFM,Dorise Ronchka,Delayed,Wednesday,2026-03-13 01:33:58,27,51,74,21,37,33,2022,4,1,Fort Mcpherson Airport - ZFM,1,0
FExnPN,Reinaldo,Caines,Male,76,Indonesia,Newcastle Airport,GB,United Kingdom,EU,Europe,2022-03-17,NCL,Kakalina Usmar,On Time,Thursday,2026-03-13 23:42:13,9,19,63,47,69,65,2022,3,23,Newcastle Airport - NCL,0,0
94BCfr,Lincoln,Casburn,Male,6,Vietnam,Guanghan Airport,CN,China,AS,Asia,2022-02-24,GHN,Coralie Chatterton,Cancelled,Friday,2026-03-13 13:04:27,54,104,37,10,22,18,2022,2,13,Guanghan Airport - GHN,0,1
nHu1FR,Kelsy,Danhel,Female,21,Indonesia,Pureni Airport,PG,Papua New Guinea,OC,Oceania,2022-08-15,PUI,Sacha Munford,Delayed,Saturday,2026-03-13 06:07:32,33,82,90,83,104,98,2022,8,6,Pureni Airport - PUI,1,0
Reruzb,Des,Sutehall,Male,65,Indonesia,Long Island Airport,PG,Papua New Guinea,OC,Oceania,2022-10-23,LSJ,Bartholomeus Gherardini,Cancelled,Sunday,2026-03-13 01:58:11,70,121,48,26,44,40,2022,10,1,Long Island Airport - LSJ,0,1
LxyKQp,Darnall,Comfort,Male,72,Russia,Xinzhou Wutaishan Airport,CN,China,AS,Asia,2022-04-27,WUT,Maryjane Wolseley,Cancelled,Sunday,2026-03-13 09:34:22,2,11,7,36,58,54,2022,4,9,Xinzhou Wutaishan Airport - WUT,0,1
iFQFjC,Bernardo,Bigland,Male,79,Philippines,Bandar Lengeh Airport,IR,"Iran, Islamic Republic of",AS,Asia,2022-05-12,BDH,Corissa Lamps,Cancelled,Sunday,2026-03-13 14:00:59,46,92,53,15,28,24,2022,5,14,Bandar Lengeh Airport - BDH,0,1
SyeYeN,Cymbre,Steeden,Female,55,Russia,Canarana Airport,BR,Brazil,SAM,South America,2022-09-26,CQA,Margit Filon,Cancelled,Tuesday,2026-03-13 16:26:14,77,136,25,69,90,86,2022,9,16,Canarana Airport - CQA,0,1
60NAQu,Leandra,Demer,Female,6,Colombia,Cà Mau Airport,VN,Viet Nam,AS,Asia,2022-01-13,CAH,Lizbeth Snaden,Cancelled,Wednesday,2026-03-13 16:45:49,14,57,69,31,52,49,2022,1,16,Cà Mau Airport - CAH,0,1
YeE54F,Shermy,Gatchell,Male,66,Colombia,Tezu Airport,IN,India,AS,Asia,2022-05-23,TEI,Albrecht Lorne,Delayed,Thursday,2026-03-13 18:56:54,6,28,80,52,73,70,2022,5,18,Tezu Airport - TEI,1,0
87HYfh,Bryn,Pratley,Female,56,Maldives,Krasnoselkup Airport,RU,Russian Federation,EU,Europe,2022-08-19,KKQ,Loria Brogini,On Time,Thursday,2026-03-13 00:42:13,59,118,36,7,14,11,2022,8,0,Krasnoselkup Airport - KKQ,0,0
D2t44Q,Eran,Summerill,Female,62,Afghanistan,Monte Dourado Airport,BR,Brazil,SAM,South America,2022-12-28,MEU,Fabien Lipprose,On Time,Thursday,2026-03-13 11:16:55,21,75,94,95,120,115,2022,12,11,Monte Dourado Airport - MEU,0,0
d8vBfU,Arlena,Ridwood,Female,65,Ireland,Awaba Airport,PG,Papua New Guinea,OC,Oceania,2022-10-28,AWB,Alyosha Damp,Delayed,Friday,2026-03-13 07:33:25,83,129,52,17,33,29,2022,10,7,Awaba Airport - AWB,1,0
2X9Cw7,Rozelle,Neubigin,Female,74,China,Al Thaurah Airport,SY,Syrian Arab Republic,AS,Asia,2022-11-15,SOR,Missy Yepiskopov,Delayed,Friday,2026-03-13 06:08:25,35,64,20,63,85,80,2022,11,6,Al Thaurah Airport - SOR,1,0
